Namespace(dataset='ecoli', mode='examine', n_estimators=1, num_clf=20, random_state=9374, reuse=False)
Dataset ecoli
(151, 8)
(151, 8)
(34, 8)
Number of label: 8 

Single different (20) (x1)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> F
['F', 'F', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'D', 'F', 'D', 'H', 'D', 'F', 'H'] -> F

Second quarter (6) (x8)
['B', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'C', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B'] -> B
['C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'A', 'D', 'C', 'D', 'C', 'C', 'C', 'C', 'A', 'C'] -> C
['C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'D', 'D', 'A', 'D', 'C', 'C', 'D', 'C', 'C', 'C'] -> C
['D', 'D', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'D', 'F', 'D', 'D', 'F', 'D', 'H', 'F', 'D', 'D'] -> D
['D', 'F', 'D', 'F', 'F', 'F', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'F', 'F', 'D'] -> D
['D', 'F', 'F', 'D', 'D', 'D', 'D', 'C', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'F', 'D'] -> D
['D', 'H', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'H', 'D', 'F', 'H'] -> D
['F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'H', 'H', 'D', 'F', 'F', 'D', 'D', 'D'] -> F

First quarter (1) (x11)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'F', 'C', 'C', 'A', 'A', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'F', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'F', 'F', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'H', 'F', 'D', 'D', 'D', 'D', 'D'] -> D

No different (0) (x6)
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D


[0.7647058823529411, 0.5882352941176471, 0.7352941176470589, 0.6764705882352942, 0.6176470588235294, 0.8235294117647058, 0.7352941176470589, 0.6764705882352942, 0.6764705882352942, 0.5882352941176471, 0.5882352941176471, 0.7352941176470589, 0.7058823529411765, 0.5882352941176471, 0.7058823529411765, 0.8235294117647058, 0.6470588235294118, 0.6764705882352942, 0.5294117647058824, 0.7352941176470589]
0.6808823529411765
