Namespace(dataset='audiology', mode='examine', n_estimators=1, num_clf=20, random_state=4804, reuse=True)
Dataset audiology
(100, 95)
(100, 95)
(26, 95)
Number of label: 24 

Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x0)

Third quarter (11) (x1)
['L', 'Q', 'U', 'C', 'Q', 'I', 'U', 'U', 'Q', 'C', 'C', 'U', 'C', 'U', 'U', 'Q', 'U', 'U', 'U', 'I'] -> U
['S', 'S', 'A', 'S', 'S', 'S', 'D', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S'] -> S
['S', 'S', 'S', 'E', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'] -> S
['S', 'S', 'S', 'E', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'] -> S
['V', 'U', 'V', 'V', 'V', 'V', 'G', 'V', 'G', 'C', 'V', 'V', 'V', 'V', 'V', 'V', 'R', 'V', 'V', 'V'] -> V

No different (0) (x35)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G


[0.86, 0.805, 0.805, 0.785, 0.86, 0.8, 0.85, 0.85, 0.855, 0.875, 0.89, 0.865, 0.84, 0.825, 0.85, 0.855, 0.815, 0.87, 0.935, 0.865]
0.8477499999999999


Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x7)
['C', 'O', 'O', 'D', 'L', 'O', 'O', 'B', 'C', 'O', 'C', 'C', 'O', 'B', 'O', 'O', 'C', 'L', 'C', 'C'] -> B
['G', 'G', 'A', 'A', 'A', 'A', 'D', 'E', 'A', 'A', 'A', 'D', 'A', 'D', 'R', 'A', 'G', 'A', 'G', 'H'] -> D
['A', 'A', 'D', 'S', 'G', 'A', 'D', 'A', 'D', 'N', 'A', 'A', 'N', 'N', 'F', 'A', 'F', 'A', 'F', 'F'] -> F
['E', 'A', 'Q', 'A', 'D', 'V', 'D', 'A', 'N', 'E', 'N', 'F', 'E', 'E', 'P', 'E', 'A', 'E', 'F', 'N'] -> F
['D', 'D', 'D', 'A', 'C', 'A', 'G', 'D', 'A', 'N', 'D', 'G', 'G', 'D', 'G', 'A', 'A', 'D', 'D', 'D'] -> G
['D', 'D', 'K', 'A', 'K', 'D', 'F', 'D', 'A', 'F', 'D', 'F', 'F', 'G', 'G', 'D', 'G', 'F', 'D', 'D'] -> G
['E', 'E', 'B', 'E', 'D', 'F', 'D', 'B', 'F', 'F', 'F', 'F', 'F', 'F', 'G', 'E', 'R', 'L', 'C', 'E'] -> G

Third quarter (11) (x3)
['G', 'D', 'G', 'R', 'A', 'H', 'D', 'E', 'A', 'G', 'G', 'A', 'G', 'G', 'G', 'P', 'D', 'E', 'G', 'G'] -> G
['O', 'O', 'V', 'G', 'O', 'O', 'G', 'O', 'G', 'O', 'O', 'U', 'G', 'O', 'V', 'G', 'L', 'O', 'Q', 'P'] -> O
['U', 'O', 'V', 'G', 'O', 'O', 'G', 'O', 'G', 'O', 'O', 'U', 'D', 'O', 'V', 'G', 'L', 'O', 'Q', 'P'] -> O

Second quarter (6) (x3)
['A', 'D', 'D', 'A', 'A', 'A', 'D', 'D', 'E', 'D', 'D', 'D', 'E', 'D', 'A', 'D', 'F', 'D', 'D', 'D'] -> D
['A', 'D', 'D', 'A', 'A', 'A', 'D', 'D', 'E', 'D', 'D', 'D', 'G', 'D', 'A', 'S', 'D', 'D', 'D', 'D'] -> D
['D', 'X', 'F', 'E', 'E', 'F', 'D', 'E', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'E', 'C', 'E', 'F', 'D'] -> F

First quarter (1) (x8)
['D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'G', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'G', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['V', 'A', 'E', 'E', 'E', 'V', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['V', 'A', 'E', 'E', 'E', 'V', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'A', 'F', 'D', 'D', 'D', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['O', 'I', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['O', 'I', 'O', 'O', 'O', 'O', 'O', 'M', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'M', 'H', 'O', 'O', 'O'] -> O

No different (0) (x5)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D


[0.5, 0.5, 0.5384615384615384, 0.5, 0.5, 0.5, 0.6153846153846154, 0.6153846153846154, 0.5, 0.7307692307692307, 0.7307692307692307, 0.7307692307692307, 0.6153846153846154, 0.7692307692307693, 0.7307692307692307, 0.5, 0.5769230769230769, 0.6538461538461539, 0.7307692307692307, 0.6538461538461539]
0.6096153846153844
